ID,Timestamp,Keywords,Account handle,Account name,AccountType,Joined,Tweet,Tweet Translated,Robredo,Marcos,Pacquiao,Tweet Type,DatePosted,Content type,Likes,Replies,Retweets,Rating,Tokenizing & Stop Words Removal,Stemmed,Lemmatized
41-1,29/03/23 22:21:59,bbm vote buying,@babolat66,babolat@2020,Anonymous,07/20,BASTA SA SAMAR 1ST DISTRICT NATALO SI VP LENI AT KIKO DAHIL SA VOTE BUYING.. MAGTANONG KAYO DUN KUNG MAGKANO ANG BIGAYAN. TAKOT ANG MGA TAO NA HINDI IBOTO ANG PARTIDO NILA BBM KASI PINAPIPIRMA BAGO MAKUHA ANG PERA AT SABAY SABI NA MAY TITINGIN SA BALOTA KUNG SINO ANG IBINOTO....,"as long as in samar 1st district vp leni and kiko lost because of vote buying, ask them how much they will be given, people are afraid of not voting for their party bbm because they are signing before getting the money and at the same time they said that someone will look at the ballot to see who voted",0,1,0,Text,2022-05-27 18:40,Rational,1,0,1,UNPROVEN,"long samar 1st district vp leni kiko lost vote buying , ask much given , people afraid voting party bbm signing getting money time said someone look ballot see voted","['long', 'samar', '1st', 'district', 'vp', 'leni', 'kiko', 'lost', 'vote', 'buy', ',', 'ask', 'much', 'given', ',', 'peopl', 'afraid', 'vote', 'parti', 'bbm', 'sign', 'get', 'money', 'time', 'said', 'someon', 'look', 'ballot', 'see', 'vote']","['long', 'samar', '1st', 'district', 'vp', 'leni', 'kiko', 'lost', 'vote', 'buying', ',', 'ask', 'much', 'given', ',', 'people', 'afraid', 'voting', 'party', 'bbm', 'signing', 'getting', 'money', 'time', 'said', 'someone', 'look', 'ballot', 'see', 'voted']"
41-2,29/03/23 22:35:55,#LEKI,@Venus10387231,Venus,Anonymous,05/22,Kung vote buying man lang pag uusapan punta ka agusan itanong mo kung sino nag bayad ng 800 pesos sa mga tao para mag vote straight sa #LEKI tandem. HAHAHAHAHA,if you're talking about vote buying at least go to agusan and ask who paid 800 pesos to people to vote straight for leki tandem hahahahaha,1,0,0,Text,2022-12-05 21:02,Rational,0,0,0,UNPROVEN,re talking vote buying least go agusan ask paid 800 pesos people vote straight leki tandem hahahahaha,"[""'re"", 'talk', 'vote', 'buy', 'least', 'go', 'agusan', 'ask', 'paid', '800', 'peso', 'peopl', 'vote', 'straight', 'leki', 'tandem', 'hahahahaha']","[""'re"", 'talking', 'vote', 'buying', 'least', 'go', 'agusan', 'ask', 'paid', '800', 'peso', 'people', 'vote', 'straight', 'leki', 'tandem', 'hahahahaha']"
41-3,27/03/23 15:07:00,"Vote buying, bumibili ng boto, bumili",@rpbs_17,):) Ross,Identified,10/15,"Dito ako kay kuya.
 
 
 
 Anong nangyare 
 
 @COMELEC
 
  ?
 
 
 
 Ang daming cases ng vote buying, pagpunit ng balota, karahasan sa presinto, at lagpas 500 na precincts na solid Marcos ang boto?
 
 
 
 Ano nangyari?
 
 #COMELECpalpak 
 
 #comelecpanagutin","i'm here with my brother, what's going on in the comelec, there are many cases of vote buying, ballot tearing, violence in the precincts and over 500 precincts, the vote is solid marcos, what happened to the comelec?",0,1,0,"Text, Image",2022-05-13 22:51,Rational,3,1,0,MISLEADING,"m brother , 's going comelec , many cases vote buying , ballot tearing , violence precincts 500 precincts , vote solid Marcos , happened comelec ?","[""'m"", 'brother', ',', ""'s"", 'go', 'comelec', ',', 'mani', 'case', 'vote', 'buy', ',', 'ballot', 'tear', ',', 'violenc', 'precinct', '500', 'precinct', ',', 'vote', 'solid', 'marco', ',', 'happen', 'comelec', '?']","[""'m"", 'brother', ',', ""'s"", 'going', 'comelec', ',', 'many', 'case', 'vote', 'buying', ',', 'ballot', 'tearing', ',', 'violence', 'precinct', '500', 'precinct', ',', 'vote', 'solid', 'Marcos', ',', 'happened', 'comelec', '?']"
41-4,29/03/23 18:55:13,pacquiao,@amariii_j,Amare,Anonymous,09/20,"May ID dito pinapamigay samin sa mga boboto kay Manny with pangako na if mananalo sya you have to choose between ""pangkabuhayan"" or ""pabahay"". Then pag umoo ka sa nang recruit, gagawan ka ng ID then bibigyan ng tarp and stickers. Legit yan, naapproach nila si papa and mga pinsan.",there is an id here that is being given to those who will vote for manny with a promise that if he wins you have to choose between livelihood or housing then when you go to the recruiter you will be given an id then you will be given a tarp and stickers legit that they approached dad and cousins,0,0,1,Text,2022-05-28 01:27,Rational,12,0,0,MISLEADING,ID given vote Manny promise wins choose livelihood housing go recruiter given ID given tarp stickers legit approached dad cousins,"['id', 'given', 'vote', 'manni', 'promis', 'win', 'choos', 'livelihood', 'hous', 'go', 'recruit', 'given', 'id', 'given', 'tarp', 'sticker', 'legit', 'approach', 'dad', 'cousin']","['ID', 'given', 'vote', 'Manny', 'promise', 'win', 'choose', 'livelihood', 'housing', 'go', 'recruiter', 'given', 'ID', 'given', 'tarp', 'sticker', 'legit', 'approached', 'dad', 'cousin']"
41-5,29/03/23 19:02:59,pacquiao,@jeeangreyy,Jean Grey,Anonymous,05/22,Are you sure hindi nambili ng boto c Pacquiao? Kanino pala galing yung mga envelope with money containing his sample ballot.,"are you sure pacquiao didn't buy a vote, who did the envelopes with money containing his sample ballot come from?",0,0,1,Text,28/05/22 06:01,Rational,0,0,0,UNPROVEN,"sure Pacquiao n't buy vote , envelopes money containing sample ballot come ?","['sure', 'pacquiao', ""n't"", 'buy', 'vote', ',', 'envelop', 'money', 'contain', 'sampl', 'ballot', 'come', '?']","['sure', 'Pacquiao', ""n't"", 'buy', 'vote', ',', 'envelope', 'money', 'containing', 'sample', 'ballot', 'come', '?']"
41-6,29/03/23 19:07:20,pacquiao,@migoumhey,Miss Agony,Anonymous,05/12,May balita rin dito sa cebu sa probinsya na namimigay ng 1k si MP. Di ako sure kung totoo,"there is also news here in cebu in the province that mp is giving away 1k, i'm not sure if it's true",0,0,1,Text,28/05/22 06:43,Rational,2,0,0,UNPROVEN,"also news Cebu province MP giving away 1k , 'm sure 's true","['also', 'news', 'cebu', 'provinc', 'mp', 'give', 'away', '1k', ',', ""'m"", 'sure', ""'s"", 'true']","['also', 'news', 'Cebu', 'province', 'MP', 'giving', 'away', '1k', ',', ""'m"", 'sure', ""'s"", 'true']"
41-7,29/03/23 19:15:30,pacquiao,@MaritessNa,Maritess na Maritess,Anonymous,11/21,"Massive vote buying? why donâ€™t you ask Pacquiao whom you supported, dba nga sya yung namimigay ng 1k ng nakapila duh!!I understand nag iingay ka to stay relevant",massive vote buying why dont you ask pacquiao whom you supported dba he is the one who is giving away 1k to those in line duhi understand you are making noise to stay relevant,0,0,1,Text,22/05/22 06:53,Rational,1,0,0,UNPROVEN,massive vote buying dont ask pacquiao supported dba one giving away 1k line duhi understand making noise stay relevant,"['massiv', 'vote', 'buy', 'dont', 'ask', 'pacquiao', 'support', 'dba', 'one', 'give', 'away', '1k', 'line', 'duhi', 'understand', 'make', 'nois', 'stay', 'relev']","['massive', 'vote', 'buying', 'dont', 'ask', 'pacquiao', 'supported', 'dba', 'one', 'giving', 'away', '1k', 'line', 'duhi', 'understand', 'making', 'noise', 'stay', 'relevant']"
41-8,29/03/23 19:25:30,pacquiao,@BingSaguimpa,Bing Saguimpa,Identified,11/21,"Namimigay ang staff ni Manny Pacquiao ng I'd before election bibigyan daw ng bahay ang may hawak ng ganitong id, tinawagan ko yung number na nakalagay sa I'd walang sumasagot ano sa palagay niyo?",manny pacquiao's staff is handing out ids before the election. they say that the holder of this id will be given a house. i called the number on the id and no one answered. what do you think?,0,0,1,"Text, Image",20/05/22 16:35,Rational,9,5,2,MISLEADING,Manny Pacquiao 's staff handing IDs election . say holder ID given house . called number ID one answered . think ?,"['manni', 'pacquiao', ""'s"", 'staff', 'hand', 'id', 'elect', '.', 'say', 'holder', 'id', 'given', 'hous', '.', 'call', 'number', 'id', 'one', 'answer', '.', 'think', '?']","['Manny', 'Pacquiao', ""'s"", 'staff', 'handing', 'IDs', 'election', '.', 'say', 'holder', 'ID', 'given', 'house', '.', 'called', 'number', 'ID', 'one', 'answered', '.', 'think', '?']"
41-9,29/03/23 19:31:39,pacquiao,@Drahcir_NallaS,Cawnt Drahcrula,Anonymous,03/18,Ang alam kong obvious na vote-buying e c @MannyPacquiao na nmigay ng tig-1k sa mga nkapila at ung nagsabog ng pera pra ipaagaw sa mga tao. Ay wait... tuta nga pla ni @senkokopimentel c Pacquiao noh? And don't give us that crap na hindi ksi di pa campaign period un. Di kmi tanga.,"what i know about obvious votebuying is mannypacquiao who gave out money to those in the queues and who blew up the money to steal it from the people. wait, it's senkokopimentel c pacquiao noh and don't give us that crap that's not even campaign period we are not stupid",0,0,1,Text,18/05/22 14:59,Rational,6,2,2,UNPROVEN,"know obvious votebuying Mannypacquiao gave money queues blew money steal people . Wait , 's senkokopimentel c pacquiao noh n't give us crap 's even campaign period stupid","['know', 'obviou', 'votebuy', 'mannypacquiao', 'gave', 'money', 'queue', 'blew', 'money', 'steal', 'peopl', '.', 'wait', ',', ""'s"", 'senkokopimentel', 'c', 'pacquiao', 'noh', ""n't"", 'give', 'us', 'crap', ""'s"", 'even', 'campaign', 'period', 'stupid']","['know', 'obvious', 'votebuying', 'Mannypacquiao', 'gave', 'money', 'queue', 'blew', 'money', 'steal', 'people', '.', 'Wait', ',', ""'s"", 'senkokopimentel', 'c', 'pacquiao', 'noh', ""n't"", 'give', 'u', 'crap', ""'s"", 'even', 'campaign', 'period', 'stupid']"
41-10,29/03/23 19:35:51,pacquiao,@bertafernd,berta,Anonymous,11/18,manny pacquiao is the main man in vote-buying. harap-harapan namimigay ng pera.,manny pacquiao is the main man in votebuying handing out money face to face,0,0,1,Text,18/05/22 15:40,Rational,1,0,0,UNPROVEN,Manny Pacquiao main man votebuying handing money face face,"['manni', 'pacquiao', 'main', 'man', 'votebuy', 'hand', 'money', 'face', 'face']","['Manny', 'Pacquiao', 'main', 'man', 'votebuying', 'handing', 'money', 'face', 'face']"
41-11,29/03/23 21:31:32,pacquiao,@m3gu_m3gu,Meg,Anonymous,01/21,"I cannot believe that vote buying just happened before my eyes. Alam kong nangyayari 'to sa Pinas but 'di ko lang talaga inexpect. Nung galing kami sa school ni mommy kahapon, may nadaanan din kaming nagpapalista. For Pacquiao naman Might delete later",i cannot believe that vote buying just happened before my eyes i know this is happening in the philippines but i just didn't expect it when we came from mommy's school yesterday we also passed by someone who was signing up for pacquiao might delete later,0,0,1,Text,2022-07-05 00:26,Rational,0,0,0,UNPROVEN,believe vote buying happened eyes know happening Philippines n't expect came mommy 's school yesterday also passed someone signing pacquiao might delete later,"['believ', 'vote', 'buy', 'happen', 'eye', 'know', 'happen', 'philippin', ""n't"", 'expect', 'came', 'mommi', ""'s"", 'school', 'yesterday', 'also', 'pass', 'someon', 'sign', 'pacquiao', 'might', 'delet', 'later']","['believe', 'vote', 'buying', 'happened', 'eye', 'know', 'happening', 'Philippines', ""n't"", 'expect', 'came', 'mommy', ""'s"", 'school', 'yesterday', 'also', 'passed', 'someone', 'signing', 'pacquiao', 'might', 'delete', 'later']"
41-12,29/03/23 21:41:52,pacquiao,@soiclyst,Ed Legaspi,Identified,02/14,Headline: Manny Pacquiao nagsimula nang bumili ng boto,headline manny pacquiao has started buying votes,0,0,1,"Text, Image",29/11/20 12:41,Rational,0,0,0,MISLEADING,	headline manny pacquiao started buying votes,"headlin', 'manni', 'pacquiao', 'start', 'buy', 'vote']","['headline', 'manny', 'pacquiao', 'started', 'buying', 'vote']"
